"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1947-06-02T05:00:00.000Z","14.30","15.24","14.30","15.21","5.26","4.64","0"
"1947-07-01T05:00:00.000Z","15.46","16.12","15.44","15.76","3.62","2.99","0"
"1947-08-01T05:00:00.000Z","15.80","15.80","15.22","15.32","-2.79","-3.41","0"
"1947-09-02T05:00:00.000Z","15.37","15.37","14.85","15.11","-1.37","-1.99","0"
"1947-10-01T06:00:00.000Z","15.16","15.79","15.16","15.43","2.12","1.49","0"
"1947-11-03T06:00:00.000Z","15.46","15.46","14.98","14.98","-2.92","-3.54","0"
"1947-12-01T06:00:00.000Z","15.07","15.30","14.63","15.30","2.14","1.51","0"
"1948-01-02T06:00:00.000Z","15.34","15.34","14.32","14.68","-4.05","-4.68","0"
"1948-02-02T06:00:00.000Z","14.71","14.71","13.85","13.93","-5.11","-5.73","0"
"1948-03-01T06:00:00.000Z","14.07","15.08","13.84","15.08","8.26","7.63","0"
"1948-04-01T06:00:00.000Z","15.12","15.78","15.12","15.48","2.65","2.03","0"
"1948-05-03T05:00:00.000Z","15.60","16.69","15.50","16.69","7.82","7.19","0"
"1948-06-01T05:00:00.000Z","16.74","17.06","16.54","16.74","0.30","-0.32","0"
"1948-07-01T05:00:00.000Z","16.70","16.92","15.72","15.85","-5.32","-5.94","0"
"1948-08-02T05:00:00.000Z","15.85","16.15","15.67","15.97","0.76","0.13","0"
"1948-09-01T05:00:00.000Z","16.16","16.35","15.19","15.49","-3.01","-3.63","0"
"1948-10-01T06:00:00.000Z","15.67","16.61","15.67","16.50","6.52","5.90","0"
"1948-11-01T06:00:00.000Z","16.70","16.70","14.75","14.75","-10.61","-11.23","0"
"1948-12-01T06:00:00.000Z","15.01","15.33","15.00","15.20","3.05","2.43","0"
"1949-01-03T06:00:00.000Z","14.95","15.61","14.95","15.22","0.13","-0.49","0"
"1949-02-01T06:00:00.000Z","15.34","15.35","14.38","14.62","-3.94","-4.57","0"
"1949-03-01T06:00:00.000Z","14.71","15.22","14.65","15.06","3.01","2.39","0"
"1949-04-01T06:00:00.000Z","14.94","15.07","14.68","14.71","-2.32","-2.95","0"
"1949-05-02T05:00:00.000Z","14.78","15.02","14.19","14.19","-3.54","-4.16","0"
"1949-06-01T05:00:00.000Z","14.14","14.16","13.55","14.16","-0.21","-0.83","0"
"1949-07-01T05:00:00.000Z","14.26","15.06","14.26","15.04","6.21","5.59","0"
"1949-08-01T05:00:00.000Z","15.12","15.51","15.12","15.22","1.20","0.57","0"
"1949-09-01T05:00:00.000Z","15.31","15.74","15.19","15.58","2.37","1.74","0"
"1949-10-03T06:00:00.000Z","15.60","16.15","15.60","16.04","2.95","2.33","0"
"1949-11-01T06:00:00.000Z","16.20","16.33","15.75","16.06","0.12","-0.50","0"
"1949-12-01T06:00:00.000Z","16.15","16.79","16.15","16.79","4.55","3.92","0"
"1950-01-03T06:00:00.000Z","16.66","17.09","16.66","17.05","1.55","0.93","38,770,000"
"1950-02-01T06:00:00.000Z","17.05","17.32","16.99","17.22","1.00","0.37","30,200,000"
"1950-03-01T06:00:00.000Z","17.24","17.56","17.07","17.29","0.41","-0.22","37,450,000"
"1950-04-03T06:00:00.000Z","17.53","18.05","17.53","17.96","3.88","3.25","42,630,000"
"1950-05-01T05:00:00.000Z","18.22","18.78","18.11","18.78","4.57","3.94","42,230,000"
"1950-06-01T05:00:00.000Z","18.77","19.40","17.44","17.69","-5.80","-6.43","45,660,000"
"1950-07-03T05:00:00.000Z","17.64","17.91","16.68","17.84","0.85","0.23","44,570,000"
"1950-08-01T05:00:00.000Z","18.02","18.82","17.95","18.42","3.25","2.63","38,900,000"
"1950-09-01T05:00:00.000Z","18.55","19.45","18.54","19.45","5.59","4.97","38,590,000"
"1950-10-02T06:00:00.000Z","19.69","20.12","19.53","19.53","0.41","-0.21","45,190,000"
"1950-11-01T06:00:00.000Z","19.56","20.32","19.36","19.51","-0.10","-0.73","40,840,000"
